country,GDP_per_capita,total_vaccinations
Aruba,0.0,162343.0
Afghanistan,508.8084095,5228706.0
Angola,1895.770869,10319552.0
Albania,5215.276752,2166207.0
Andorra,0.0,106428.0
United Arab Emirates,0.0,22124896.0
Argentina,8441.919439,71219249.0
Armenia,4267.452119,1352805.0
Antigua and Barbuda,14449.99652,118765.0
Australia,51812.15404,40154757.0
Austria,48327.63111,15054030.0
Azerbaijan,4214.311336,10869472.0
Burundi,274.0095232,3396.0
Belgium,44594.37811,19655382.0
Benin,1291.040962,1144390.0
Burkina Faso,830.9251446,661796.0
Bangladesh,1968.792225,127840703.0
Bulgaria,9975.780001,3490637.0
Bahrain,0.0,3037016.0
Bahamas,28607.90138,288008.0
Bosnia and Herzegovina,6031.556869,1553874.0
Belarus,6411.227813,6677937.0
Belize,4435.621154,412002.0
Bermuda,0.0,106520.0
Bolivia,3143.045494,8937595.0
Brazil,6796.844542,319980117.0
Barbados,15191.16404,292896.0
Bhutan,3122.376062,1154093.0
Botswana,6710.990411,1483181.0
Central African Republic,476.8511127,436772.0
Canada,43258.17632,63031365.0
Switzerland,87097.03645,12484660.0
Chile,13231.70421,42140589.0
China,10500.39562,2591879000.0
Cote d'Ivoire,2325.723705,4528780.0
Cameroon,1499.372843,970440.0
Colombia,5332.773524,60040692.0
Comoros,1402.595489,523256.0
Costa Rica,12076.81451,7222020.0
Cuba,0.0,28892653.0
Curacao,0.0,199382.0
Cayman Islands,0.0,125717.0
Cyprus,26623.80089,1390192.0
Germany,46208.42947,133319224.0
Djibouti,3425.50345,108945.0
Dominica,6526.793215,56179.0
Denmark,61063.31643,10214910.0
Dominican Republic,7268.19691,13940037.0
Algeria,3310.386534,12293060.0
Ecuador,5600.389615,25309620.0
Spain,27063.19392,77827910.0
Estonia,23027.027,1496047.0
Ethiopia,936.3404611,10364843.0
Finland,48773.28117,8748276.0
Fiji,4881.526069,1245234.0
France,39030.36037,111198494.0
Gabon,7005.879097,328721.0
United Kingdom,40284.63846,120529071.0
Georgia,4278.860771,2300323.0
Ghana,2328.534642,3493688.0
Gibraltar,0.0,102158.0
Guinea,1194.037865,2493842.0
Guinea-Bissau,727.5201717,388626.0
Equatorial Guinea,7143.238705,446624.0
Greece,17676.19248,15453526.0
Grenada,9680.175825,75154.0
Greenland,0.0,78120.0
Guatemala,4603.339617,10553291.0
Guyana,6955.939217,687627.0
Honduras,2405.732848,9030824.0
Croatia,13828.4695,4361237.0
Haiti,1176.75582,184769.0
Hungary,15899.14828,14655778.0
Indonesia,3869.588427,248355276.0
Isle of Man,0.0,133546.0
India,1900.70681,1327494248.0
Ireland,85267.76474,8557367.0
Iraq,4157.484495,12912613.0
Iceland,59270.18005,689243.0
Israel,43610.51623,16310202.0
Italy,31676.2021,101515898.0
Jamaica,4664.52915,1158552.0
Jordan,4282.765823,8033715.0
Japan,39538.87927,198014376.0
Kazakhstan,9055.745009,17123916.0
Kenya,1838.209968,8141817.0
Cambodia,1512.727753,29365889.0
Kiribati,1670.824691,82167.0
Kuwait,0.0,6636245.0
Lebanon,4891.00147,3774039.0
Liberia,583.2717273,597913.0
Libya,3699.228621,2485598.0
Liechtenstein,0.0,54402.0
Sri Lanka,3682.038425,30919491.0
Lesotho,861.0145481,635881.0
Lithuania,19997.59253,3866002.0
Luxembourg,115873.6026,937282.0
Latvia,17619.95239,2244035.0
Morocco,3009.24946,49191138.0
Monaco,0.0,49980.0
Moldova,4551.130676,1680897.0
Madagascar,495.4904009,742069.0
Maldives,7455.855728,778312.0
Mexico,8346.702379,136829147.0
North Macedonia,5888.004015,1675793.0
Mali,858.9158055,963968.0
Malta,27884.64283,988115.0
Myanmar,1400.218242,28707770.0
Montenegro,7686.092949,543011.0
Mongolia,4007.308885,4418587.0
Mozambique,448.6074536,11099580.0
Mauritania,1672.923535,1795467.0
Mauritius,8622.675515,1875132.0
Malawi,625.2941292,1501147.0
Malaysia,10401.79401,54238218.0
Namibia,4211.050929,697262.0
New Caledonia,0.0,351941.0
Niger,565.0613331,971636.0
Nigeria,2097.092473,11193780.0
Nicaragua,1905.256756,6942756.0
Netherlands,52397.11671,24791526.0
Norway,67389.91205,9069860.0
Nepal,1155.142854,19157444.0
Nauru,0.0,14863.0
New Zealand,41477.94492,7871033.0
Oman,0.0,5934585.0
Pakistan,1193.733397,132638510.0
Panama,12269.049,5684345.0
Peru,6126.87454,43688338.0
Philippines,3298.829851,94236990.0
Papua New Guinea,2636.800249,467166.0
Poland,15656.18273,44015507.0
Portugal,22437.07801,18137701.0
Paraguay,4949.7497,6324638.0
French Polynesia,0.0,321000.0
Qatar,50805.46357,5054608.0
Romania,12896.08862,15296831.0
Rwanda,797.8555543,10268499.0
Saudi Arabia,20110.31619,48023170.0
Sudan,595.467833,3276654.0
Senegal,1487.757309,1928411.0
Singapore,59797.75218,9489264.0
Solomon Islands,2258.400365,208046.0
Sierra Leone,484.5212675,923880.0
El Salvador,3798.636521,9305444.0
San Marino,0.0,48672.0
Somalia,309.4154546,1147627.0
Serbia,7666.244476,8046012.0
South Sudan,0.0,257941.0
Sao Tome and Principe,2157.840446,132705.0
Suriname,6491.139065,483838.0
Slovenia,25517.33067,2755171.0
Sweden,52259.29738,16584289.0
Eswatini,3415.459446,344255.0
Sint Maarten (Dutch part),0.0,51856.0
Seychelles,11425.09293,179462.0
Turks and Caicos Islands,23879.92665,56343.0
Chad,614.4651899,275026.0
Togo,914.9505826,1930935.0
Thailand,7189.041835,97177327.0
Tajikistan,859.1379611,5711036.0
Turkmenistan,0.0,7580976.0
Tonga,0.0,119535.0
Trinidad and Tobago,15384.03946,1352548.0
Tunisia,3319.819024,10937504.0
Turkey,8538.16906,121600540.0
Tuvalu,4143.109753,12114.0
Tanzania,1076.470385,1699523.0
Uganda,817.0357569,7813170.0
Ukraine,3726.927149,26535803.0
Uruguay,15438.41167,6857762.0
United States,63543.57779,482695970.0
Uzbekistan,1685.764947,35610274.0
British Virgin Islands,0.0,34992.0
Vietnam,2785.724157,130935854.0
Vanuatu,2782.98434,141490.0
Samoa,4067.47263,248729.0
Kosovo,4287.200903,1633364.0
South Africa,5090.715025,27043034.0
Zambia,1050.919283,1242193.0
Zimbabwe,1128.210711,6899067.0
